step,loss,direction_accuracy,token_accuracy,tau,learning_rate,timestamp
75500,3.83313201713562,0.5297935378551483,0.08338013637065887,0.0,2.248163397662239e-05,2025-08-22T05:22:14.967840
76000,3.821785726070404,0.5332480396032333,0.08581702480465174,0.0,2.221706892439252e-05,2025-08-22T05:24:22.176845
76500,3.8336573071479796,0.5313566491603852,0.08379941232502461,0.0,2.19506417288425e-05,2025-08-22T05:26:29.353863
77000,3.83220103931427,0.5308820914030075,0.08317367832362652,0.0,2.168253498586381e-05,2025-08-22T05:28:36.575837
77500,3.8253201174736025,0.5321071392297745,0.0848365942388773,0.0,2.1412932442425865e-05,2025-08-22T05:30:43.808612
78000,3.8366584014892577,0.5304315007925033,0.08434393275529146,0.0,2.1142018870644984e-05,2025-08-22T05:32:50.996584
78500,3.815569589138031,0.5316154541969299,0.08512230863422156,0.0,2.086997994115084e-05,2025-08-22T05:34:58.220615
79000,3.8071531705856323,0.5326149641275406,0.08670303267240524,0.0,2.059700209583706e-05,2025-08-22T05:37:05.441303
79500,3.817181097984314,0.532926122546196,0.08536203443259001,0.0,2.032327242008327e-05,2025-08-22T05:39:12.608969
80000,3.823532639026642,0.5310533227920532,0.08495743574202061,0.0,2.0048978514536124e-05,2025-08-22T05:41:19.816219
80500,3.8108228611946107,0.5347392332553863,0.08588160397857428,0.0,1.977430836653721e-05,2025-08-22T05:43:28.714521
81000,3.804227159500122,0.5319980385303498,0.08650048869848251,0.0,1.9499450221285875e-05,2025-08-22T05:45:35.952112
81500,3.816303828239441,0.5320557680130005,0.0852553810030222,0.0,1.922459245282541e-05,2025-08-22T05:47:43.228767
82000,3.805281014919281,0.534653128862381,0.08700684853643179,0.0,1.8949923434940864e-05,2025-08-22T05:49:50.488746
82500,3.8152748312950133,0.5325968649387359,0.08489823818206788,0.0,1.8675631412057073e-05,2025-08-22T05:51:57.710984
83000,3.8242801098823547,0.5327685867547989,0.08595694632828235,0.0,1.840190437022533e-05,2025-08-22T05:54:04.967152
83500,3.8086808218955994,0.5345386457443237,0.08888943191617728,0.0,1.8128929908287132e-05,2025-08-22T05:56:12.228305
84000,3.79574259519577,0.5326384506225585,0.08828864900767804,0.0,1.7856895109303315e-05,2025-08-22T05:58:19.504165
84500,3.821179491996765,0.5352137907743454,0.08717661409080028,0.0,1.758598641233666e-05,2025-08-22T06:00:26.784310
85000,3.8216906604766847,0.5345406007766723,0.0858962811306119,0.0,1.731638948467588e-05,2025-08-22T06:02:34.006025
85500,3.8150426931381225,0.5342367866039276,0.08645254348218441,0.0,1.7048289094588522e-05,2025-08-22T06:04:42.842638
86000,3.8001738471984865,0.535039623260498,0.08895988182723522,0.0,1.678186898469004e-05,2025-08-22T06:06:51.205284
86500,3.7963010630607603,0.534235318660736,0.08892808157205581,0.0,1.6517311746015783e-05,2025-08-22T06:08:58.453413
87000,3.791635685920715,0.5362734794616699,0.0912054788172245,0.0,1.62547986928822e-05,2025-08-22T06:11:05.707113
87500,3.802403841495514,0.5356115436553955,0.08954990145564079,0.0,1.5994509738623093e-05,2025-08-22T06:13:12.985396
88000,3.7830642218589783,0.536482871890068,0.0905288642346859,0.0,1.5736623272285985e-05,2025-08-22T06:15:20.188555
88500,3.7916575560569763,0.5342509726285934,0.0888419758528471,0.0,1.5481316036373195e-05,2025-08-22T06:17:27.439828
89000,3.7975205383300783,0.5349217183589935,0.08789334583282471,0.0,1.522876300571133e-05,2025-08-22T06:19:34.712140
89500,3.807316236495972,0.5361139889955521,0.08867954923957587,0.0,1.4979137267532304e-05,2025-08-22T06:21:41.948531
90000,3.794901747226715,0.5344814069271088,0.08813502888381482,0.0,1.4732609902847976e-05,2025-08-22T06:23:49.240199
90500,3.7818314700126647,0.53663747215271,0.09100293466448783,0.0,1.4489349869199792e-05,2025-08-22T06:25:58.080157
91000,3.790772654533386,0.5355601736307144,0.08935714206844568,0.0,1.4249523884863694e-05,2025-08-22T06:28:05.314905
91500,3.772992919921875,0.5377358107566833,0.09282876640558242,0.0,1.4013296314589777e-05,2025-08-22T06:30:12.588595
92000,3.7742271938323975,0.5393028328418732,0.09220939277112485,0.0,1.3780829056954878e-05,2025-08-22T06:32:19.844065
92500,3.768838017940521,0.5370117379426956,0.09309833581745625,0.0,1.3552281433405382e-05,2025-08-22T06:34:27.068178
93000,3.7699200377464295,0.5394584115743637,0.09430821844935418,0.0,1.3327810079066257e-05,2025-08-22T06:36:34.301315
93500,3.7676625819206238,0.5378693689107895,0.0935278857499361,0.0,1.3107568835391168e-05,2025-08-22T06:38:41.494191
94000,3.7676530075073242,0.538241678237915,0.09421917740255595,0.0,1.2891708644727248e-05,2025-08-22T06:40:48.701396
94500,3.7632316937446593,0.5376541056632995,0.09359784676134586,0.0,1.2680377446866709e-05,2025-08-22T06:42:55.921262
95000,3.7797151827812194,0.5392578246593476,0.09225146716088056,0.0,1.2473720077656343e-05,2025-08-22T06:45:03.093908
95500,3.7895722398757936,0.5391120308637619,0.09150146688520909,0.0,1.2271878169734235e-05,2025-08-22T06:47:12.182346
96000,3.771938413619995,0.5400474514961243,0.0942358114644885,0.0,1.2074990055461852e-05,2025-08-22T06:49:19.387739
96500,3.768418302536011,0.5384427546262741,0.09361888384819031,0.0,1.1883190672117934e-05,2025-08-22T06:51:26.545629
97000,3.7644317831993104,0.5377392317056656,0.09324315004050732,0.0,1.1696611469419226e-05,2025-08-22T06:53:33.748579
97500,3.757262439250946,0.540136983036995,0.09599315004050732,0.0,1.1515380319431427e-05,2025-08-22T06:55:40.969092
